,Open,High,Low,Close,Adj Close,Volume,Date,company
0,152.369995,152.369995,146.869995,149.0,148.346939,31600.0,2021-07-06T00:00:00,ALG
1,149.179993,149.779999,146.279999,147.270004,146.624542,40000.0,2021-07-07T00:00:00,ALG
2,145.139999,147.0,142.630005,145.020004,144.384384,22400.0,2021-07-08T00:00:00,ALG
3,147.630005,149.899994,146.770004,148.0,147.351318,23300.0,2021-07-09T00:00:00,ALG
4,146.660004,149.080002,145.919998,149.070007,148.416641,21600.0,2021-07-12T00:00:00,ALG
5,147.529999,149.490005,145.630005,146.080002,145.439743,22700.0,2021-07-13T00:00:00,ALG
6,147.169998,147.169998,144.509995,145.410004,144.91156,17600.0,2021-07-14T00:00:00,ALG
7,144.0,146.240005,144.0,145.619995,145.120819,18100.0,2021-07-15T00:00:00,ALG
8,146.850006,146.850006,142.649994,143.330002,142.838684,16500.0,2021-07-16T00:00:00,ALG
9,140.839996,142.259995,138.259995,139.600006,139.121475,22800.0,2021-07-19T00:00:00,ALG
10,140.589996,146.199997,140.070007,143.220001,142.72905,38700.0,2021-07-20T00:00:00,ALG
11,144.449997,147.770004,144.449997,145.850006,145.350052,29000.0,2021-07-21T00:00:00,ALG
12,145.179993,145.179993,140.220001,141.009995,140.526627,38500.0,2021-07-22T00:00:00,ALG
13,141.300003,143.369995,140.070007,142.929993,142.440048,17700.0,2021-07-23T00:00:00,ALG
14,143.589996,144.259995,142.619995,144.020004,143.526321,19400.0,2021-07-26T00:00:00,ALG
15,142.100006,144.429993,141.029999,142.820007,142.330444,22500.0,2021-07-27T00:00:00,ALG
16,143.009995,145.369995,141.369995,143.869995,143.376846,17200.0,2021-07-28T00:00:00,ALG
17,145.449997,147.119995,143.309998,145.860001,145.360016,17700.0,2021-07-29T00:00:00,ALG
18,145.800003,146.990005,144.440002,146.770004,146.266907,19100.0,2021-07-30T00:00:00,ALG
19,149.100006,149.100006,143.919998,144.229996,143.735611,28400.0,2021-08-02T00:00:00,ALG
20,143.960007,145.619995,143.509995,145.289993,144.791962,40400.0,2021-08-03T00:00:00,ALG
21,142.910004,144.389999,140.270004,141.059998,140.576477,16700.0,2021-08-04T00:00:00,ALG
22,150.0,150.0,143.880005,145.399994,144.901581,17500.0,2021-08-05T00:00:00,ALG
23,147.699997,148.570007,145.910004,148.389999,147.881348,16200.0,2021-08-06T00:00:00,ALG
24,148.809998,150.179993,148.039993,148.199997,147.692001,29200.0,2021-08-09T00:00:00,ALG
25,147.809998,153.490005,147.179993,152.320007,151.797882,59400.0,2021-08-10T00:00:00,ALG
26,153.550003,155.130005,151.210007,154.610001,154.080032,20300.0,2021-08-11T00:00:00,ALG
27,154.259995,156.580002,154.039993,155.809998,155.275909,28500.0,2021-08-12T00:00:00,ALG
28,154.850006,154.850006,151.509995,152.149994,151.628448,10400.0,2021-08-13T00:00:00,ALG
29,150.300003,151.880005,150.240005,150.580002,150.063843,15800.0,2021-08-16T00:00:00,ALG
30,148.669998,148.679993,145.960007,147.399994,146.894745,17600.0,2021-08-17T00:00:00,ALG
31,147.100006,147.100006,145.839996,146.649994,146.147293,18300.0,2021-08-18T00:00:00,ALG
32,144.649994,146.309998,143.210007,145.190002,144.692322,29600.0,2021-08-19T00:00:00,ALG
33,144.899994,147.809998,144.899994,147.169998,146.665512,33400.0,2021-08-20T00:00:00,ALG
34,148.089996,149.490005,147.949997,148.429993,147.921204,12300.0,2021-08-23T00:00:00,ALG
35,148.270004,150.259995,148.270004,149.490005,148.97757,11000.0,2021-08-24T00:00:00,ALG
36,150.440002,151.220001,149.470001,150.380005,149.864532,23100.0,2021-08-25T00:00:00,ALG
37,149.990005,152.919998,149.990005,151.779999,151.25972,27900.0,2021-08-26T00:00:00,ALG
38,152.600006,157.5,152.600006,156.350006,155.814056,38500.0,2021-08-27T00:00:00,ALG
39,157.720001,157.720001,153.850006,154.720001,154.189651,17900.0,2021-08-30T00:00:00,ALG
40,155.720001,155.740005,153.059998,155.009995,154.478638,22600.0,2021-08-31T00:00:00,ALG
41,156.059998,156.059998,152.190002,155.059998,154.528473,21400.0,2021-09-01T00:00:00,ALG
42,156.25,156.25,153.940002,155.119995,154.588272,33400.0,2021-09-02T00:00:00,ALG
43,154.169998,156.039993,153.660004,154.389999,153.860764,19900.0,2021-09-03T00:00:00,ALG
44,153.460007,153.460007,149.289993,150.130005,149.615387,40900.0,2021-09-07T00:00:00,ALG
45,148.809998,151.089996,148.160004,149.740005,149.226715,21500.0,2021-09-08T00:00:00,ALG
46,148.960007,150.110001,148.320007,148.320007,147.8116,21700.0,2021-09-09T00:00:00,ALG
47,149.309998,149.309998,146.630005,147.020004,146.516037,18300.0,2021-09-10T00:00:00,ALG
48,148.240005,148.240005,144.979996,146.470001,145.967926,17700.0,2021-09-13T00:00:00,ALG
49,147.240005,147.240005,143.369995,144.199997,143.705704,33700.0,2021-09-14T00:00:00,ALG
50,143.630005,145.449997,142.779999,144.919998,144.423248,23900.0,2021-09-15T00:00:00,ALG
51,145.720001,145.720001,143.350006,144.679993,144.184052,24900.0,2021-09-16T00:00:00,ALG
52,144.820007,145.220001,143.130005,145.220001,144.722214,111300.0,2021-09-17T00:00:00,ALG
53,142.589996,142.589996,138.059998,140.220001,139.739349,24100.0,2021-09-20T00:00:00,ALG
54,141.669998,142.210007,138.699997,140.960007,140.476807,22200.0,2021-09-21T00:00:00,ALG
55,142.360001,153.899994,141.740005,145.490005,144.991287,44800.0,2021-09-22T00:00:00,ALG
56,145.940002,148.529999,145.940002,146.880005,146.376526,26100.0,2021-09-23T00:00:00,ALG
57,146.869995,146.869995,142.789993,144.669998,144.174103,24200.0,2021-09-24T00:00:00,ALG
58,144.770004,147.360001,144.770004,145.820007,145.320145,20400.0,2021-09-27T00:00:00,ALG
59,146.389999,146.389999,142.660004,142.759995,142.27063,28600.0,2021-09-28T00:00:00,ALG
60,142.710007,143.690002,141.770004,142.25,141.76239,23100.0,2021-09-29T00:00:00,ALG
61,143.279999,144.339996,139.289993,139.529999,139.051697,29500.0,2021-09-30T00:00:00,ALG
62,140.929993,143.5,138.520004,142.25,141.76239,40600.0,2021-10-01T00:00:00,ALG
63,140.789993,142.300003,140.190002,141.240005,140.755844,18000.0,2021-10-04T00:00:00,ALG
64,141.380005,143.229996,138.759995,142.149994,141.66272,30000.0,2021-10-05T00:00:00,ALG
65,140.559998,142.050003,138.949997,141.880005,141.393661,20800.0,2021-10-06T00:00:00,ALG
66,141.75,144.600006,141.75,143.289993,142.798813,19700.0,2021-10-07T00:00:00,ALG
67,143.0,144.990005,142.880005,143.630005,143.137665,13600.0,2021-10-08T00:00:00,ALG
68,143.550003,144.710007,142.130005,142.449997,141.9617,15000.0,2021-10-11T00:00:00,ALG
69,141.889999,143.699997,141.889999,143.070007,142.57959,18700.0,2021-10-12T00:00:00,ALG
70,143.279999,143.910004,140.300003,143.539993,143.047958,16700.0,2021-10-13T00:00:00,ALG
71,144.419998,145.889999,144.389999,145.429993,145.072983,13400.0,2021-10-14T00:00:00,ALG
72,148.190002,149.089996,145.130005,147.050003,146.689011,42700.0,2021-10-15T00:00:00,ALG
73,145.929993,146.600006,145.389999,146.020004,145.66153,13200.0,2021-10-18T00:00:00,ALG
74,145.779999,146.639999,145.25,146.389999,146.030624,15300.0,2021-10-19T00:00:00,ALG
75,145.820007,148.360001,145.820007,147.210007,146.848618,14300.0,2021-10-20T00:00:00,ALG
76,147.770004,149.270004,146.539993,149.25,148.883606,27400.0,2021-10-21T00:00:00,ALG
77,149.009995,150.0,147.929993,149.169998,148.803802,21100.0,2021-10-22T00:00:00,ALG
78,148.619995,151.110001,148.460007,150.550003,150.180405,19500.0,2021-10-25T00:00:00,ALG
79,150.059998,150.600006,148.490005,148.5,148.135437,15800.0,2021-10-26T00:00:00,ALG
80,149.160004,149.520004,147.490005,147.839996,147.477066,19200.0,2021-10-27T00:00:00,ALG
81,148.059998,151.410004,147.100006,151.380005,151.008377,22300.0,2021-10-28T00:00:00,ALG
82,151.520004,153.339996,149.929993,151.199997,150.828812,17100.0,2021-10-29T00:00:00,ALG
83,151.449997,155.380005,150.889999,153.669998,153.29274,32900.0,2021-11-01T00:00:00,ALG
84,154.339996,156.690002,153.350006,155.240005,154.858917,25300.0,2021-11-02T00:00:00,ALG
85,155.610001,156.910004,152.429993,156.490005,156.105835,54700.0,2021-11-03T00:00:00,ALG
86,153.0,153.710007,147.449997,152.350006,151.975998,60900.0,2021-11-04T00:00:00,ALG
87,153.649994,158.830002,153.649994,156.809998,156.425049,27600.0,2021-11-05T00:00:00,ALG
88,157.279999,160.0,157.279999,158.25,157.861511,20600.0,2021-11-08T00:00:00,ALG
89,157.690002,158.279999,156.190002,157.960007,157.57222,21900.0,2021-11-09T00:00:00,ALG
90,157.470001,159.300003,156.820007,157.389999,157.003616,33300.0,2021-11-10T00:00:00,ALG
91,158.699997,158.699997,150.0,156.910004,156.524796,48200.0,2021-11-11T00:00:00,ALG
92,158.190002,158.190002,156.119995,156.490005,156.105835,23000.0,2021-11-12T00:00:00,ALG
93,157.669998,157.669998,154.080002,154.960007,154.579605,26500.0,2021-11-15T00:00:00,ALG
94,155.5,157.929993,155.149994,157.059998,156.674423,25000.0,2021-11-16T00:00:00,ALG
95,157.520004,157.520004,153.149994,154.580002,154.200516,27400.0,2021-11-17T00:00:00,ALG
96,155.690002,155.690002,152.309998,152.820007,152.444839,32600.0,2021-11-18T00:00:00,ALG
97,151.089996,154.369995,151.089996,151.889999,151.51712,34700.0,2021-11-19T00:00:00,ALG
98,152.710007,154.25,152.240005,152.360001,151.985977,29600.0,2021-11-22T00:00:00,ALG
99,152.110001,153.119995,150.649994,152.240005,151.866272,22200.0,2021-11-23T00:00:00,ALG
100,151.860001,155.389999,151.080002,154.970001,154.589569,19200.0,2021-11-24T00:00:00,ALG
101,151.059998,151.600006,146.460007,149.210007,148.843704,24900.0,2021-11-26T00:00:00,ALG
102,151.389999,152.059998,145.119995,146.369995,146.010666,37100.0,2021-11-29T00:00:00,ALG
103,144.860001,145.970001,141.710007,142.220001,141.87085,27600.0,2021-11-30T00:00:00,ALG
104,145.990005,145.990005,139.869995,140.0,139.656311,34500.0,2021-12-01T00:00:00,ALG
105,141.460007,145.949997,141.309998,144.369995,144.015579,62400.0,2021-12-02T00:00:00,ALG
106,145.460007,145.460007,141.339996,143.080002,142.728745,26700.0,2021-12-03T00:00:00,ALG
107,145.470001,149.320007,144.940002,147.559998,147.197754,31000.0,2021-12-06T00:00:00,ALG
108,149.580002,151.679993,149.580002,150.910004,150.53952,24100.0,2021-12-07T00:00:00,ALG
109,150.139999,151.210007,149.520004,150.630005,150.260208,21000.0,2021-12-08T00:00:00,ALG
110,148.889999,150.869995,148.889999,149.470001,149.103058,21900.0,2021-12-09T00:00:00,ALG
111,150.860001,152.570007,148.429993,149.100006,148.733978,16100.0,2021-12-10T00:00:00,ALG
112,147.770004,150.649994,146.070007,146.899994,146.539368,21000.0,2021-12-13T00:00:00,ALG
113,146.169998,149.110001,143.919998,144.589996,144.235046,41100.0,2021-12-14T00:00:00,ALG
114,145.580002,146.690002,142.699997,145.820007,145.462021,48300.0,2021-12-15T00:00:00,ALG
115,146.860001,147.460007,143.259995,143.479996,143.127762,32700.0,2021-12-16T00:00:00,ALG
116,142.289993,142.940002,138.039993,140.850006,140.504227,289500.0,2021-12-17T00:00:00,ALG
117,138.529999,138.529999,134.539993,136.009995,135.676086,54000.0,2021-12-20T00:00:00,ALG
118,137.869995,140.899994,135.679993,140.589996,140.244858,51200.0,2021-12-21T00:00:00,ALG
119,141.479996,142.410004,140.160004,142.199997,141.850906,31200.0,2021-12-22T00:00:00,ALG
120,141.789993,144.75,141.789993,143.919998,143.566681,17000.0,2021-12-23T00:00:00,ALG
121,145.949997,146.009995,144.070007,145.75,145.392197,15400.0,2021-12-27T00:00:00,ALG
122,145.070007,147.139999,145.070007,146.580002,146.220154,15100.0,2021-12-28T00:00:00,ALG
123,146.220001,148.720001,146.220001,147.720001,147.357361,24800.0,2021-12-29T00:00:00,ALG
124,147.449997,148.429993,146.660004,146.910004,146.549362,18400.0,2021-12-30T00:00:00,ALG
125,145.990005,147.440002,145.860001,147.179993,146.818665,14700.0,2021-12-31T00:00:00,ALG
126,148.479996,149.960007,147.539993,149.149994,148.783844,30600.0,2022-01-03T00:00:00,ALG
127,150.460007,157.179993,149.779999,156.970001,156.584656,35200.0,2022-01-04T00:00:00,ALG
128,156.440002,159.740005,156.440002,158.869995,158.47998,35800.0,2022-01-05T00:00:00,ALG
129,158.970001,160.710007,158.5,159.75,159.357819,53200.0,2022-01-06T00:00:00,ALG
130,158.889999,159.5,155.850006,156.410004,156.026031,37600.0,2022-01-07T00:00:00,ALG
131,155.179993,156.809998,153.979996,156.589996,156.205582,37400.0,2022-01-10T00:00:00,ALG
132,157.550003,158.240005,154.850006,157.460007,157.073456,27600.0,2022-01-11T00:00:00,ALG
133,157.539993,159.509995,154.279999,154.279999,153.90126,21600.0,2022-01-12T00:00:00,ALG
134,155.960007,158.970001,155.960007,157.210007,156.824066,18300.0,2022-01-13T00:00:00,ALG
135,154.309998,158.860001,154.309998,158.520004,158.312103,33300.0,2022-01-14T00:00:00,ALG
136,156.520004,157.070007,154.630005,155.050003,154.846664,30400.0,2022-01-18T00:00:00,ALG
137,156.0,156.0,151.429993,151.429993,151.2314,19600.0,2022-01-19T00:00:00,ALG
138,151.520004,153.940002,147.990005,148.070007,147.875809,26200.0,2022-01-20T00:00:00,ALG
139,148.279999,151.0,147.289993,148.169998,147.975677,41300.0,2022-01-21T00:00:00,ALG
140,145.860001,150.75,145.309998,149.240005,149.044281,48200.0,2022-01-24T00:00:00,ALG
141,146.639999,148.470001,143.289993,146.660004,146.467667,51200.0,2022-01-25T00:00:00,ALG
142,148.190002,149.639999,141.089996,142.990005,142.802475,34300.0,2022-01-26T00:00:00,ALG
143,143.509995,144.940002,139.360001,140.740005,140.555435,29900.0,2022-01-27T00:00:00,ALG
144,141.380005,141.479996,137.649994,141.0,140.815079,36100.0,2022-01-28T00:00:00,ALG
145,139.240005,141.699997,139.240005,140.850006,140.665283,45000.0,2022-01-31T00:00:00,ALG
146,142.020004,142.020004,138.740005,139.779999,139.59668,47200.0,2022-02-01T00:00:00,ALG
147,139.639999,139.639999,134.720001,134.800003,134.623215,71100.0,2022-02-02T00:00:00,ALG
